"","F1"
"1",0.435099202796629
"2",0.0764397150421118
"3",1.209932237897
"4",-0.803387683195175
"5",0.36944763794705
"6",-0.555682709513249
"7",0.560053822619348
"8",1.96028548903727
"9",0.827161262350873
"10",-1.1041236271505
"11",0.610298275675104
"12",-0.530634089703918
"13",-0.484013788709942
"14",1.78603830330367
"15",2.65184898954991
"16",0.348389326242776
"17",-0.35566654675987
"18",-0.976879550253996
"19",0.505999079765664
"20",0.00707804706809872
"21",0.961870818924636
"22",-0.90375575879255
"23",0.872229977367396
"24",-1.29059688974281
"25",0.106094828574298
"26",-0.164818679292876
"27",0.582468612713483
"28",-1.01045097023005
"29",-1.00536364767582
"30",1.4753877085362
"31",-0.531713385554958
"32",0.62459963597271
"33",1.58280110620768
"34",0.674513112989224
"35",-0.554383475902909
"36",-0.647306282030624
"37",1.82042460724796
"38",0.870860778370083
"39",0.523392704274507
"40",1.860108384512
"41",0.3321970406767
"42",0.666554158970786
"43",-0.54145658987691
"44",0.694911635450153
"45",-0.858400512962718
"46",0.330646501284602
"47",0.899477073956838
"48",-0.897541576173356
"49",-0.36536895576873
"50",-1.29099847057869
"51",0.0456234277509258
"52",0.926678190914958
"53",-0.507152468326677
"54",-0.652857796330625
"55",-0.936093894199483
"56",0.464618226032476
"57",-1.08340496468363
"58",0.104968354310301
"59",-0.486856650893112
"60",-0.612335751181582
"61",-1.17843903470364
"62",-0.425321128819313
"63",-1.11155432206417
"64",0.839255895430847
"65",-0.16874545199922
"66",0.373462395923237
"67",0.624779905863501
"68",-0.229267547153389
"69",0.082364529782872
"70",0.2096984739794
"71",0.727304936497823
"72",-0.665842094848396
"73",-0.258088416970457
"74",0.204239378272013
"75",1.4565825958059
"76",1.84050302549579
"77",-1.36826088783877
"78",1.64647893651075
"79",1.02777359454918
"80",-0.893251719162144
"81",-1.76122686469569
"82",-0.146591855987993
"83",-0.666453287200975
"84",0.332187253830973
"85",0.960520102806174
"86",0.682791191874747
"87",-0.0916791120241311
"88",0.436425490092408
"89",0.506721071204029
"90",-0.597021867575243
"91",1.69539482187573
"92",-1.42028378398682
"93",-0.514130012631509
"94",2.16879573117871
"95",0.403046141990217
"96",0.382022630249712
"97",-0.400586509683637
"98",0.896325969247821
"99",-0.0335996683432188
"100",-0.449881633258106
"101",-1.60888152496575
"102",2.58564274431115
"103",-0.83084662158122
"104",1.95310638168525
"105",-0.999153114182732
"106",-1.43367893493453
"107",-0.541251694657969
"108",0.273560088809013
"109",0.955958445348326
"110",-0.104939582841643
"111",0.620207362057744
"112",-1.16539091589704
"113",1.01029647642735
"114",-0.881691013427072
"115",0.84393739691595
"116",-0.981339453017839
"117",-1.68829435636938
"118",-0.371093086585781
"119",-0.981882990794784
"120",-0.725368917077442
"121",-0.309771970090869
"122",-0.695276526340416
"123",0.532355971126476
"124",0.613104283665914
"125",-1.1036865708291
"126",-0.885672486716155
"127",0.514248046006783
"128",0.183540204880457
"129",-0.0898823714200433
"130",0.0558038810221285
"131",-0.439696020073711
"132",0.774847276101287
"133",0.155719388010536
"134",0.139257975799021
"135",-0.582254401047403
"136",-0.387737737873732
"137",0.956087857577784
"138",-0.968078812619236
"139",0.587537974140424
"140",0.691406878427187
"141",-0.839728672667737
"142",2.39481124754814
"143",0.32735728739545
"144",-0.221263746541713
"145",1.53737663587957
"146",-0.518514510519854
"147",1.9023671380381
"148",-0.504058932282588
"149",-0.516834104236304
"150",1.28367862985106
"151",-1.18396426016139
"152",-1.39713353931072
"153",-1.04330302640664
"154",-1.32735425381985
"155",1.02815950858501
"156",-0.00135360955595794
"157",-0.521246308090307
"158",-0.678904823615616
"159",-1.47146587597746
"160",-0.0539053295809625
"161",0.101532002538082
"162",-1.06499259323082
"163",-1.04871323067613
"164",0.577314030675334
"165",1.70962374133013
"166",0.81835764080074
"167",0.491517154520807
"168",0.109139149778383
"169",-0.824912258977715
"170",0.0453212884271859
"171",0.211406569294413
"172",0.0846189576485782
"173",-1.12657909293276
"174",-0.684916163104748
"175",-0.380299995665052
"176",-1.9112511369195
"177",1.3367280676973
"178",0.0197541461565019
"179",0.315445073667426
"180",-0.534865093821933
"181",-0.94257008649725
"182",0.734855107941998
"183",-0.021451362330686
"184",-1.05036032034696
"185",-0.0628663212335672
"186",-2.18278181397733
"187",1.28406184094414
"188",1.33821813546172
"189",0.505974013534376
"190",1.28728937949443
"191",0.171253029923429
"192",-0.963138808670347
"193",-1.27809746824124
"194",-0.382914562672981
"195",-0.906260910238486
"196",1.30850345875743
"197",-1.61536807036861
